鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,城市,坪數,每坪租金,交易年,建築年,屋齡,樓層
淡水區,租賃房屋,新北市淡水區新春街１９９之２號,0.0,,,,1141127,土地0建物1車位0,三層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690906.0,99.14,3,2,1,有,無,有,12000,121.0,,0.0,0,,RPXOMLTJKIKGFEF86CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、洗衣機,社會住宅代管,新北市,29.98985,400.13537913660787,114,69.0,45.0,3.0
淡水區,租賃房屋,新北市淡水區濱海路一段３０６巷１８號六樓,0.0,,,,1141128,土地0建物1車位0,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031203.0,94.99,2,1,1,有,有,無,18000,189.0,,0.0,0,另有管理費2655，由承租人負擔,RPPPMLTJKIKGFEF78CC,整棟(戶)出租,有,1141208~1151207,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,新北市,28.734474999999996,626.4252261438569,114,103.0,11.0,6.0
淡水區,租賃房屋,新北市淡水區新市一路一段３３１巷８８號二樓,0.0,,,,1141127,土地0建物1車位0,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031024.0,96.16,2,1,1,有,有,有,17000,177.0,,0.0,0,另有管理費2500，由承租人負擔,RPQPMLTJKIKGFEF88CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管,新北市,29.088399999999996,584.4254066913272,114,103.0,11.0,2.0
淡水區,租賃房屋,新北市淡水區沙崙路一段２７號四樓,0.0,,,,1141121,土地0建物1車位0,四層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306.0,94.73,3,1,1,有,有,有,15000,158.0,,0.0,0,,RPRPMLTJKIKGFEF98CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管,新北市,28.655825,523.4537829568683,114,108.0,6.0,4.0
淡水區,租賃房屋,新北市淡水區英專路１８０號地下一層之３,0.0,,,,1141122,土地0建物1車位0,地下一層,13.0,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,930603.0,32.900000000000006,1,1,1,有,有,有,9000,274.0,,0.0,0,未租賃車位，建物登記含有車位面積；,RPUPMLTJKIKGFEF66CC,獨立套房,有,1141125~1151124,有,熱水器、洗衣機、電視機、冰箱,社會住宅代管,新北市,9.952250000000001,904.3181190183124,114,93.0,21.0,-1.0
淡水區,租賃房屋,新北市淡水區沙崙路一段４５號十四樓,0.0,,,,1141124,土地0建物1車位0,十四層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306.0,67.23,2,1,1,有,有,有,15900,237.0,,0.0,0,管理費每個月1800元不包含在租金內,RPVPMLTJKIKGFEF76CC,整棟(戶)出租,有,1141215~1151214,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租,新北市,20.337075000000002,781.8233448025342,114,108.0,6.0,14.0
三重區,租賃房屋,新北市三重區安慶街２９７巷３弄１３號,0.0,,,,1141121,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,640526.0,89.65,3,2,3,有,無,有,30000,335.0,,0.0,0,,RPPNMLTJKIKGFGF78CC,整棟(戶)出租,無,1141215~1151214,無,冷氣、熱水器、冰箱,社會住宅代管,新北市,27.119125,1106.2303816955746,114,64.0,50.0,1.0
蘆洲區,租賃房屋,新北市蘆洲區長安街１２１號４樓,0.0,,,,1141127,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800419.0,159.56,3,2,2,有,有,無,24500,154.0,,0.0,0,續租案件；,RPQOMLTJKIKGFGF98CC,整棟(戶)出租,無,1141217~1151216,有,熱水器、瓦斯或天然氣,社會住宅代管,新北市,48.2669,507.5942312433572,114,80.0,34.0,4.0
三重區,租賃房屋,新北市三重區成功二街７７號十二樓,0.0,,,,1141121,土地0建物1車位0,十二層,12.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1131219.0,118.32,2,1,1,有,有,有,28500,241.0,,0.0,0,未租賃車位，建物登記含有車位面積；,RPROMLTJKIKGFGF09CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,新北市,35.791799999999995,796.2717717466013,114,113.0,1.0,12.0
中和區,租賃房屋,新北市中和區景德街１７號十一樓之１２,0.0,,,,1141127,土地0建物1車位0,十一層,15.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1060120.0,41.34,1,0,1,有,有,有,12400,300.0,,0.0,0,,RPTNMLTJKIKGFHF66CC,獨立套房,有,1141201~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租,新北市,12.50535,991.5756056407857,114,106.0,8.0,11.0
